"","x"
"1","nube"
"2","nube"
"3","nube"
"4","nube"
"5","nube"
"6","nube"
"7","nube"
"8","nube"
"9","cieloDespejado"
"10","nube"
"11","nube"
"12","nube"
"13","cieloDespejado"
"14","nube"
"15","nube"
"16","multinube"
"17","nube"
"18","nube"
"19","nube"
"20","nube"
"21","nube"
"22","nube"
"23","cieloDespejado"
"24","multinube"
"25","nube"
"26","nube"
"27","nube"
"28","nube"
"29","nube"
"30","nube"
"31","multinube"
"32","multinube"
"33","multinube"
"34","multinube"
"35","nube"
"36","multinube"
"37","nube"
"38","nube"
"39","cieloDespejado"
"40","nube"
"41","nube"
"42","multinube"
"43","nube"
"44","multinube"
"45","nube"
"46","nube"
"47","nube"
"48","nube"
"49","nube"
"50","nube"
"51","nube"
"52","nube"
"53","cieloDespejado"
"54","nube"
"55","multinube"
"56","nube"
"57","nube"
"58","cieloDespejado"
"59","nube"
"60","nube"
"61","multinube"
"62","multinube"
"63","nube"
"64","nube"
"65","nube"
"66","multinube"
"67","nube"
"68","nube"
"69","nube"
"70","nube"
"71","nube"
"72","nube"
"73","nube"
"74","nube"
"75","nube"
"76","nube"
"77","nube"
"78","multinube"
"79","nube"
"80","nube"
"81","nube"
"82","nube"
"83","nube"
"84","multinube"
"85","nube"
"86","multinube"
"87","nube"
"88","nube"
"89","nube"
"90","nube"
"91","multinube"
"92","multinube"
"93","nube"
"94","nube"
"95","nube"
"96","nube"
"97","multinube"
"98","nube"
"99","nube"
"100","nube"
"101","multinube"
"102","nube"
"103","nube"
"104","nube"
"105","nube"
"106","multinube"
"107","nube"
"108","nube"
"109","nube"
"110","multinube"
"111","cieloDespejado"
"112","cieloDespejado"
"113","nube"
"114","nube"
"115","nube"
"116","nube"
"117","multinube"
"118","nube"
"119","nube"
"120","nube"
"121","multinube"
"122","multinube"
"123","multinube"
"124","nube"
"125","nube"
"126","multinube"
"127","nube"
"128","cieloDespejado"
"129","nube"
"130","multinube"
"131","cieloDespejado"
"132","nube"
"133","cieloDespejado"
"134","multinube"
"135","nube"
"136","nube"
"137","multinube"
"138","multinube"
"139","nube"
"140","multinube"
"141","nube"
"142","nube"
"143","nube"
"144","nube"
"145","multinube"
"146","multinube"
"147","nube"
"148","nube"
"149","multinube"
"150","nube"
"151","nube"
"152","nube"
"153","multinube"
"154","nube"
"155","nube"
"156","multinube"
"157","nube"
"158","nube"
"159","nube"
"160","nube"
"161","nube"
"162","multinube"
"163","nube"
"164","nube"
"165","nube"
"166","nube"
"167","cieloDespejado"
"168","nube"
"169","nube"
"170","nube"
"171","nube"
"172","nube"
"173","nube"
"174","nube"
"175","nube"
"176","nube"
"177","multinube"
"178","nube"
"179","nube"
"180","nube"
