"","x"
"1","nube"
"2","nube"
"3","nube"
"4","nube"
"5","multinube"
"6","multinube"
"7","nube"
"8","nube"
"9","nube"
"10","multinube"
"11","multinube"
"12","nube"
"13","multinube"
"14","multinube"
"15","multinube"
"16","multinube"
"17","nube"
"18","multinube"
"19","multinube"
"20","multinube"
"21","multinube"
"22","multinube"
"23","multinube"
"24","multinube"
"25","nube"
"26","multinube"
"27","multinube"
"28","nube"
"29","nube"
"30","multinube"
"31","multinube"
"32","multinube"
"33","multinube"
"34","nube"
"35","multinube"
"36","multinube"
"37","multinube"
"38","nube"
"39","multinube"
"40","nube"
"41","nube"
"42","nube"
"43","multinube"
"44","nube"
"45","nube"
"46","nube"
"47","multinube"
"48","nube"
"49","multinube"
"50","nube"
"51","multinube"
"52","multinube"
"53","multinube"
"54","multinube"
"55","nube"
"56","multinube"
"57","multinube"
"58","multinube"
"59","cieloDespejado"
"60","multinube"
"61","multinube"
"62","multinube"
"63","multinube"
"64","nube"
"65","multinube"
"66","nube"
"67","nube"
"68","nube"
"69","nube"
"70","multinube"
"71","multinube"
"72","nube"
"73","nube"
"74","nube"
"75","nube"
"76","nube"
"77","multinube"
"78","nube"
"79","nube"
"80","nube"
"81","nube"
"82","multinube"
"83","nube"
"84","multinube"
"85","nube"
"86","nube"
"87","nube"
"88","nube"
"89","multinube"
"90","nube"
"91","nube"
"92","multinube"
"93","nube"
"94","multinube"
"95","multinube"
"96","nube"
"97","nube"
"98","multinube"
"99","nube"
"100","multinube"
"101","multinube"
"102","multinube"
"103","cieloDespejado"
"104","nube"
"105","nube"
"106","nube"
"107","multinube"
"108","cieloDespejado"
"109","nube"
"110","nube"
"111","nube"
"112","cieloDespejado"
"113","nube"
"114","multinube"
"115","multinube"
"116","nube"
"117","cieloDespejado"
"118","nube"
"119","nube"
"120","nube"
"121","nube"
"122","nube"
"123","multinube"
"124","multinube"
"125","multinube"
"126","multinube"
"127","multinube"
"128","multinube"
"129","multinube"
"130","nube"
"131","nube"
"132","multinube"
"133","cieloDespejado"
"134","nube"
"135","nube"
"136","multinube"
"137","multinube"
"138","cieloDespejado"
"139","multinube"
"140","multinube"
"141","multinube"
"142","multinube"
"143","nube"
"144","nube"
"145","nube"
"146","multinube"
"147","multinube"
"148","nube"
"149","nube"
"150","nube"
"151","nube"
"152","cieloDespejado"
"153","nube"
"154","nube"
"155","nube"
"156","multinube"
"157","multinube"
"158","nube"
"159","multinube"
"160","nube"
"161","nube"
"162","nube"
"163","nube"
"164","multinube"
"165","nube"
"166","multinube"
"167","nube"
"168","nube"
"169","cieloDespejado"
"170","nube"
"171","nube"
"172","multinube"
"173","nube"
"174","nube"
"175","multinube"
"176","nube"
"177","multinube"
"178","multinube"
"179","nube"
