"","x"
"1","nube"
"2","nube"
"3","multinube"
"4","nube"
"5","nube"
"6","nube"
"7","nube"
"8","nube"
"9","nube"
"10","nube"
"11","nube"
"12","nube"
"13","nube"
"14","nube"
"15","nube"
"16","nube"
"17","nube"
"18","nube"
"19","nube"
"20","multinube"
"21","nube"
"22","nube"
"23","nube"
"24","multinube"
"25","nube"
"26","nube"
"27","cieloDespejado"
"28","nube"
"29","nube"
"30","nube"
"31","nube"
"32","nube"
"33","nube"
"34","nube"
"35","nube"
"36","nube"
"37","nube"
"38","nube"
"39","nube"
"40","nube"
"41","nube"
"42","cieloDespejado"
"43","nube"
"44","multinube"
"45","nube"
"46","nube"
"47","nube"
"48","nube"
"49","nube"
"50","nube"
"51","nube"
"52","nube"
"53","cieloDespejado"
"54","nube"
"55","nube"
"56","nube"
"57","nube"
"58","nube"
"59","nube"
"60","nube"
"61","cieloDespejado"
"62","multinube"
"63","nube"
"64","multinube"
"65","nube"
"66","nube"
"67","multinube"
"68","multinube"
"69","nube"
"70","multinube"
"71","nube"
"72","cieloDespejado"
"73","nube"
"74","nube"
"75","multinube"
"76","nube"
"77","nube"
"78","cieloDespejado"
"79","cieloDespejado"
"80","nube"
"81","cieloDespejado"
"82","nube"
"83","nube"
"84","nube"
"85","nube"
"86","nube"
"87","multinube"
"88","nube"
"89","nube"
"90","nube"
"91","nube"
"92","nube"
"93","nube"
"94","nube"
"95","nube"
"96","nube"
"97","nube"
"98","multinube"
"99","nube"
"100","nube"
"101","cieloDespejado"
"102","nube"
"103","nube"
"104","multinube"
"105","nube"
"106","nube"
"107","nube"
"108","nube"
"109","nube"
"110","cieloDespejado"
"111","nube"
"112","cieloDespejado"
"113","nube"
"114","nube"
"115","cieloDespejado"
"116","multinube"
"117","nube"
"118","nube"
"119","nube"
"120","nube"
"121","nube"
"122","nube"
"123","nube"
"124","multinube"
"125","cieloDespejado"
"126","nube"
"127","nube"
"128","nube"
"129","nube"
"130","nube"
"131","multinube"
"132","nube"
"133","nube"
"134","nube"
"135","cieloDespejado"
"136","nube"
"137","cieloDespejado"
"138","cieloDespejado"
"139","nube"
"140","nube"
"141","multinube"
"142","nube"
"143","nube"
"144","nube"
"145","multinube"
"146","nube"
"147","nube"
"148","nube"
"149","nube"
"150","nube"
"151","nube"
"152","cieloDespejado"
"153","nube"
"154","nube"
"155","nube"
"156","nube"
"157","nube"
"158","cieloDespejado"
"159","nube"
"160","nube"
"161","nube"
"162","nube"
"163","nube"
"164","cieloDespejado"
"165","nube"
"166","cieloDespejado"
"167","cieloDespejado"
"168","nube"
"169","multinube"
"170","nube"
"171","nube"
"172","nube"
"173","nube"
"174","nube"
"175","nube"
"176","cieloDespejado"
"177","multinube"
"178","multinube"
"179","nube"
